Simulated,Estimated,lme,bicint,xp,pseudoR2,choiceProbMedianR2,wins,best
1,1,-626.572046139733,1260.52325153725,1,-1.91817865701926,0.999997966450231,1,10
1,2,-698.189201413507,1398.11066069226,0,-3.86023907381883,0.997876629868086,0,0
1,3,-715.014812828176,1439.01811204839,0,-5.01068607253081,0.955858289274931,0,0
1,4,-640.04359548205,1291.13522087299,0,-1.86112599931746,0.9999920049536,0,0
1,5,-704.540552713041,1423.12012859771,0,-3.87526426681106,0.99706545590321,0,0
1,6,-722.131843484779,1460.78087196604,0,-4.98850946687737,0.95133058016214,0,0
2,1,-992.883417156684,1986.20388961729,0,-7.63375295757431,0.957278485179432,0,0
2,2,-894.043608303325,1785.75421104754,1,-5.76133547301487,0.994539400853843,1,10
2,3,-917.601642324662,1838.10090998769,0,-7.10355963784591,0.883360263903531,0,0
2,4,-1007.70577242113,2024.44722651343,0,-7.51546635796097,0.945238018107451,0,0
2,5,-918.144590428614,1839.61281272018,0,-5.72156512791125,0.986861809871885,0,0
2,6,-937.879332818686,1884.40259542411,0,-7.13196269562808,0.866843870314575,0,0
3,1,-1278.43031925692,2550.78509202093,0,-12.7294740471976,0.711289382985597,0,0
3,2,-1235.34826120261,2461.77975824431,2.2e-06,-11.8197020373854,0.77086452647701,0,0
3,3,-1214.68552261425,2422.8113491705,0.9999978,-11.8469586213992,0.744174523792369,1,10
3,4,-1289.71595290671,2575.00898809585,0,-12.3145109032298,0.731125693016724,0,0
3,5,-1251.78433772881,2500.76985305498,0,-11.5530771880845,0.772877364718134,0,0
3,6,-1234.73712418409,2469.13207746347,0,-11.9167353937283,0.711370068995727,0,0
4,1,-664.014626614873,1331.02642836054,0.0267784,-2.46832931978684,0.999985577446716,0,0
4,2,-719.449089687948,1440.69993654351,0,-4.28924780500523,0.995855070478766,0,0
4,3,-739.849727349822,1484.21868710159,0,-5.39775294892616,0.94864620612558,0,0
4,4,-655.596609613461,1322.09386455386,0.9732215,-2.05035087645178,0.999988516046352,1,10
4,5,-714.072148580262,1439.83794533994,1e-07,-3.96801190587764,0.996215101981673,0,0
4,6,-733.770688465034,1482.11796951046,0,-5.14088393128988,0.945146765457126,0,0
5,1,-1000.08778301456,2002.57171465936,0,-7.96028165746782,0.936356298793648,0,0
5,2,-906.405930944142,1811.85866790935,0,-6.06212453486831,0.986104789632502,0,0
5,3,-915.431945974909,1835.11231047184,0,-7.12377793105825,0.877475364617981,0,0
5,4,-988.624117844527,1986.80651960491,0,-7.25807404643127,0.938290253651817,0,0
5,5,-884.315640700202,1771.31997989644,1,-5.20308216933359,0.985974598860566,1,10
5,6,-904.292424025095,1816.92457112506,0,-6.65258057261403,0.872017976773185,0,0
6,1,-1275.84635764314,2549.6983338512,0,-13.009737134447,0.686924041207242,0,0
6,2,-1236.80156712705,2467.64257394599,0,-12.1299778785581,0.735492591945284,0,0
6,3,-1212.7488742334,2423.44374030955,0.1872892,-12.0015447351084,0.703504189001283,0.2,2
6,4,-1263.31505956065,2527.81664527378,0,-11.9956749009864,0.723064681528309,0,0
6,5,-1222.47392759421,2442.00414942691,0,-11.0962682707981,0.764523125456074,0,0
6,6,-1205.64921895164,2411.02000677268,0.8127108,-11.4706784204113,0.703943619466086,0.8,8
